Data i godzina,Energia na falownik|Symo 3.0-3-S (Zach) (# 1),Energia na falownik|Symo 3.0-3-S (Wsch) (# 2),"Energia na falownik|IG 15 (Pd, TF) (# 3)",Energia na falownik na kWp|Symo 3.0-3-S (Zach) (# 1),Energia na falownik na kWp|Symo 3.0-3-S (Wsch) (# 2),"Energia na falownik na kWp|IG 15 (Pd, TF) (# 3)",Cała instalacja
[dd.MM.yyyy],[kWh],[kWh],[kWh],[kWh/kWp],[kWh/kWp],[kWh/kWp],[kWh]
01.01.2015,0,0,0,0,0,0,0
02.01.2015,1.26,1.39,0,0.37,0.41,0,2.66
03.01.2015,1.4,1.43,0,0.41,0.42,0,2.84
04.01.2015,1.26,1.31,0,0.37,0.38,0,2.57
05.01.2015,0.05,0.06,0,0.01,0.02,0,0.11
06.01.2015,0.11,0.19,0,0.03,0.06,0,0.3
07.01.2015,0.24,0.3,0,0.07,0.09,0,0.54
08.01.2015,0.28,0.42,0,0.08,0.12,0,0.7
09.01.2015,1.52,1.61,0,0.44,0.47,0,3.13
10.01.2015,0.73,0.75,0,0.21,0.22,0,1.47
11.01.2015,1.93,2.04,0,0.56,0.59,0,3.97
12.01.2015,1.31,1.36,0,0.38,0.4,0,2.67
13.01.2015,1.15,1.27,0,0.33,0.37,0,2.42
14.01.2015,1.41,1.52,0,0.41,0.44,0,2.92
15.01.2015,1.14,1.14,0,0.33,0.33,0,2.28
16.01.2015,0.97,1,0,0.28,0.29,0,1.97
17.01.2015,1.57,1.58,0,0.46,0.46,0,3.14
18.01.2015,0.27,0.27,0,0.08,0.08,0,0.53
19.01.2015,0.18,0.19,0,0.05,0.05,0,0.37
20.01.2015,0.83,0.88,0,0.24,0.26,0,1.71
21.01.2015,1.89,1.96,0,0.55,0.57,0,3.85
22.01.2015,0.41,0.43,0,0.12,0.12,0,0.84
23.01.2015,0.86,0.91,0,0.25,0.27,0,1.78
24.01.2015,0.15,0.16,0,0.05,0.05,0,0.31
25.01.2015,0,0,n/a,0,0,n/a,0
26.01.2015,0,0,n/a,0,0,n/a,0
27.01.2015,0,0,n/a,0,0,n/a,0
28.01.2015,0,0,n/a,0,0,n/a,0
29.01.2015,0,0,n/a,0,0,n/a,0
30.01.2015,0,0,0,0,0,0,0
31.01.2015,0,0,0,0,0,0,0
01.02.2015,0,0.03,0,0,0.01,0,0.03
02.02.2015,0,0,0,0,0,0,0
03.02.2015,0,0.02,0,0,0.01,0,0.02
04.02.2015,0,0.06,0,0,0.02,0,0.06
05.02.2015,0,0.03,0,0,0.01,0,0.03
06.02.2015,0,0,n/a,0,0,n/a,0
07.02.2015,0.03,0.27,0,0.01,0.08,0,0.3
08.02.2015,0,0,0,0,0,0,0
09.02.2015,0,0,n/a,0,0,n/a,0
10.02.2015,0,0.09,n/a,0,0.03,n/a,0.09
11.02.2015,0.37,0.55,0,0.11,0.16,0,0.92
12.02.2015,2.41,2.27,0,0.7,0.66,0,4.67
13.02.2015,1.64,2.87,0,0.48,0.84,0,4.51
14.02.2015,3.1,3.18,0,0.91,0.93,0,6.28
15.02.2015,1.94,2.17,0,0.56,0.63,0,4.11
16.02.2015,0.62,0.65,0,0.18,0.19,0,1.27
17.02.2015,3.52,3.65,0,1.03,1.06,0,7.17
18.02.2015,2.44,2.71,0,0.71,0.79,0,5.16
19.02.2015,3.96,4.27,0,1.15,1.24,0,8.23
20.02.2015,4.21,4.82,0,1.23,1.41,0,9.03
21.02.2015,2.43,2.77,0,0.71,0.81,0,5.2
22.02.2015,3.51,3.99,0,1.02,1.16,0,7.5
23.02.2015,4.12,4.32,0,1.2,1.26,0,8.44
24.02.2015,3.36,3.65,0,0.98,1.06,0,7.01
25.02.2015,0.19,0.2,0,0.06,0.06,0,0.39
26.02.2015,0.83,0.88,0.22,0.24,0.26,0.17,1.93
27.02.2015,2.73,2.83,0.65,0.8,0.83,0.5,6.21
28.02.2015,1.72,1.8,0.5,0.5,0.53,0.38,4.02
01.03.2015,3.23,3.53,1.07,0.94,1.03,0.82,7.83
02.03.2015,2.43,2.55,0.65,0.71,0.74,0.5,5.63
03.03.2015,4.59,4.7,1.11,1.34,1.37,0.85,10.39
04.03.2015,3.81,3.77,1.15,1.11,1.1,0.88,8.73
05.03.2015,5.6,5.72,1.24,1.63,1.67,0.96,12.57
06.03.2015,4.53,4.84,1.02,1.32,1.41,0.79,10.39
07.03.2015,6.03,6.53,1.79,1.76,1.9,1.37,14.35
08.03.2015,6.47,7.62,1.65,1.89,2.22,1.27,15.74
09.03.2015,6.65,8.82,1.63,1.94,2.57,1.25,17.09
10.03.2015,6.96,7.89,1.71,2.03,2.3,1.32,16.57
11.03.2015,1.02,1.2,0.22,0.3,0.35,0.17,2.43
12.03.2015,3.91,4.24,0.85,1.14,1.23,0.66,9
13.03.2015,1.22,1.3,0.29,0.36,0.38,0.23,2.81
14.03.2015,1.92,2.04,0.53,0.56,0.59,0.41,4.49
15.03.2015,7.52,7.91,1.86,2.19,2.31,1.43,17.28
16.03.2015,8.07,9.64,1.95,2.35,2.81,1.5,19.66
17.03.2015,8.7,10.41,1.89,2.54,3.03,1.46,21.01
18.03.2015,9.02,11.21,1.84,2.63,3.27,1.42,22.08
19.03.2015,7.79,9.88,1.46,2.27,2.88,1.12,19.14
20.03.2015,7.84,9.44,1.71,2.29,2.75,1.32,18.99
21.03.2015,9.09,10.68,1.98,2.65,3.11,1.53,21.76
22.03.2015,2.41,2.58,0.59,0.7,0.75,0.46,5.58
23.03.2015,10.52,12.87,2.03,3.07,3.75,1.56,25.41
24.03.2015,9.49,11.45,2.01,2.77,3.34,1.55,22.95
25.03.2015,7.4,9.52,1.2,2.16,2.78,0.92,18.12
26.03.2015,5.49,6.82,1.01,1.6,1.99,0.78,13.32
27.03.2015,2.63,3.08,0.57,0.77,0.9,0.44,6.27
28.03.2015,4.14,4.46,0.96,1.21,1.3,0.74,9.56
29.03.2015,9.73,10.63,1.78,2.84,3.1,1.37,22.13
30.03.2015,7.96,9.05,1.55,2.32,2.64,1.2,18.57
31.03.2015,3.48,4.04,0.89,1.02,1.18,0.68,8.41
01.04.2015,5.97,6.41,1.41,1.74,1.87,1.09,13.8
02.04.2015,4.84,6.18,0.93,1.41,1.8,0.72,11.95
03.04.2015,6.9,7.2,1.68,2.01,2.1,1.29,15.78
04.04.2015,9.45,9.89,2.18,2.76,2.88,1.68,21.52
05.04.2015,5.32,5.58,1.13,1.55,1.63,0.87,12.04
06.04.2015,7.67,8.38,1.64,2.24,2.44,1.26,17.68
07.04.2015,10.66,11.65,2.31,3.11,3.4,1.77,24.62
08.04.2015,6.71,7.79,1.4,1.96,2.27,1.08,15.9
09.04.2015,13.06,16.32,2.4,3.81,4.76,1.84,31.78
10.04.2015,12.89,15.88,2.46,3.76,4.63,1.89,31.23
11.04.2015,12.06,14.92,2.29,3.52,4.35,1.76,29.27
12.04.2015,10.91,11.41,2.34,3.18,3.33,1.8,24.66
13.04.2015,8.98,11.46,1.42,2.62,3.34,1.09,21.86
14.04.2015,14.23,16.41,2.9,4.15,4.78,2.23,33.54
15.04.2015,10.73,10.77,2.53,3.13,3.14,1.95,24.04
16.04.2015,10.56,12.23,2.07,3.08,3.57,1.59,24.86
17.04.2015,8.33,8.62,1.85,2.43,2.51,1.42,18.8
18.04.2015,6.13,6.35,1.5,1.79,1.85,1.15,13.97
19.04.2015,6.78,8.53,1.3,1.98,2.49,1,16.6
20.04.2015,10.14,10.46,2.37,2.96,3.05,1.83,22.97
21.04.2015,12.15,15.06,2.43,3.54,4.39,1.87,29.64
22.04.2015,14.56,16.95,2.77,4.25,4.94,2.13,34.28
23.04.2015,14.96,17.75,2.79,4.36,5.18,2.14,35.5
24.04.2015,13.44,14.9,2.53,3.92,4.35,1.95,30.88
25.04.2015,14.25,16.11,2.88,4.16,4.7,2.22,33.25
26.04.2015,10.45,12.03,2.16,3.05,3.51,1.66,24.65
27.04.2015,13.86,17.11,2.4,4.04,4.99,1.85,33.37
28.04.2015,7.31,8.48,1.43,2.13,2.47,1.1,17.21
29.04.2015,12.29,14.48,2.15,3.58,4.22,1.65,28.92
30.04.2015,16.01,18.89,2.95,4.67,5.51,2.27,37.85
01.05.2015,5.05,5.56,1.12,1.47,1.62,0.86,11.73
02.05.2015,7.86,7.9,1.78,2.29,2.3,1.37,17.55
03.05.2015,16.55,19.89,3.01,4.83,5.8,2.32,39.46
04.05.2015,10.71,10.83,2.41,3.12,3.16,1.85,23.95
05.05.2015,13.93,15.74,2.73,4.06,4.59,2.1,32.4
06.05.2015,3.11,3.33,0.72,0.91,0.97,0.55,7.16
07.05.2015,14.55,16.2,2.71,4.24,4.72,2.09,33.46
08.05.2015,16.98,19.19,3.18,4.95,5.6,2.45,39.35
09.05.2015,13.41,14.89,2.79,3.91,4.34,2.15,31.09
10.05.2015,9.26,9.67,2.17,2.7,2.82,1.67,21.1
11.05.2015,12.33,11.46,2.85,3.59,3.34,2.19,26.64
12.05.2015,18.16,21.04,3.34,5.29,6.14,2.57,42.54
13.05.2015,14.28,13.63,3.18,4.16,3.98,2.44,31.09
14.05.2015,6.44,6.69,1.4,1.88,1.95,1.08,14.53
15.05.2015,15.14,16.9,2.85,4.41,4.93,2.19,34.89
16.05.2015,18.86,21.46,3.44,5.5,6.26,2.64,43.75
17.05.2015,12.98,0,2.76,3.78,0,2.12,15.74
18.05.2015,19.48,5.52,2.76,5.68,1.61,2.13,27.76
19.05.2015,14.05,16.84,2.72,4.1,4.91,2.09,33.61
20.05.2015,13.83,15.24,2.94,4.03,4.44,2.26,32
21.05.2015,2.71,2.87,0.66,0.79,0.84,0.51,6.25
22.05.2015,9.38,10.08,2,2.73,2.94,1.54,21.46
23.05.2015,3.36,3.56,0.8,0.98,1.04,0.61,7.71
24.05.2015,3.58,3.79,0.86,1.04,1.11,0.66,8.24
25.05.2015,3.99,4.27,0.95,1.16,1.25,0.73,9.21
26.05.2015,1.79,1.99,0.49,0.52,0.58,0.38,4.27
27.05.2015,8.44,9.16,1.8,2.46,2.67,1.38,19.4
28.05.2015,9.57,10.1,2.03,2.79,2.94,1.56,21.7
29.05.2015,19.41,21.61,3.66,5.66,6.3,2.82,44.68
30.05.2015,13.7,15.22,2.98,3.99,4.44,2.3,31.91
31.05.2015,18.32,20.46,3.44,5.34,5.97,2.64,42.22
01.06.2015,18.8,19.66,3.87,5.48,5.73,2.98,42.33
02.06.2015,14.69,17.18,2.59,4.28,5.01,2,34.47
03.06.2015,18.97,20.99,3.59,5.53,6.12,2.76,43.56
04.06.2015,12.04,12.17,2.66,3.51,3.55,2.05,26.88
05.06.2015,21.06,22.99,3.94,6.14,6.7,3.03,47.98
06.06.2015,19.68,21.62,3.78,5.74,6.3,2.91,45.08
07.06.2015,18.38,20.82,3.6,5.36,6.07,2.77,42.79
08.06.2015,16.23,16.77,3.61,4.73,4.89,2.78,36.61
09.06.2015,16.6,18.21,3.62,4.84,5.31,2.78,38.42
10.06.2015,14.13,16.17,2.75,4.12,4.71,2.11,33.04
11.06.2015,16.72,17.68,3.27,4.87,5.16,2.52,37.67
12.06.2015,17.51,19.77,3.39,5.11,5.76,2.61,40.66
13.06.2015,18.16,19.82,3.75,5.29,5.78,2.88,41.73
14.06.2015,19.3,21.04,3.85,5.63,6.14,2.96,44.19
15.06.2015,6.54,7.09,1.43,1.91,2.07,1.1,15.06
16.06.2015,14.7,15.44,2.78,4.29,4.5,2.14,32.92
17.06.2015,14.19,14.86,2.77,4.14,4.33,2.13,31.82
18.06.2015,14.43,16.28,2.76,4.21,4.75,2.12,33.47
19.06.2015,4.56,4.62,1.05,1.33,1.35,0.81,10.22
20.06.2015,8.17,9.39,1.51,2.38,2.74,1.16,19.07
21.06.2015,14.75,14.26,3.34,4.3,4.16,2.57,32.36
22.06.2015,13.72,16.98,2.25,4,4.95,1.73,32.95
23.06.2015,5.38,5.11,1.22,1.57,1.49,0.94,11.71
24.06.2015,15.27,17.89,2.69,4.45,5.22,2.07,35.85
25.06.2015,12.36,13.88,2.64,3.6,4.05,2.03,28.88
26.06.2015,13.77,14.76,3.09,4.01,4.3,2.38,31.62
27.06.2015,4.98,5.37,1.18,1.45,1.57,0.91,11.54
28.06.2015,5.39,5.68,1.28,1.57,1.66,0.98,12.34
29.06.2015,9.12,9.37,2.08,2.66,2.73,1.6,20.57
30.06.2015,15.86,17.85,3.04,4.62,5.2,2.34,36.75
01.07.2015,14.5,16.15,2.83,4.23,4.71,2.18,33.48
02.07.2015,18.42,20.13,3.35,5.37,5.87,2.58,41.9
03.07.2015,20.41,22.21,3.88,5.95,6.47,2.99,46.5
04.07.2015,19.14,21.02,3.7,5.58,6.13,2.84,43.86
05.07.2015,17.94,19.92,3.47,5.23,5.81,2.67,41.33
06.07.2015,15.48,17.14,3.01,4.51,5,2.31,35.63
07.07.2015,19.29,20.96,3.79,5.62,6.11,2.91,44.04
08.07.2015,10.64,11.17,2.41,3.1,3.26,1.85,24.22
09.07.2015,13.89,16.38,2.52,4.05,4.78,1.94,32.79
10.07.2015,14.75,15.52,3.04,4.3,4.53,2.33,33.31
11.07.2015,20.16,21.79,3.94,5.88,6.35,3.03,45.89
12.07.2015,16.65,20.05,3.2,4.85,5.85,2.46,39.89
13.07.2015,6.95,7.03,1.65,2.02,2.05,1.27,15.63
14.07.2015,8.25,8.8,1.98,2.41,2.57,1.53,19.03
15.07.2015,13.36,14.75,2.84,3.9,4.3,2.19,30.96
16.07.2015,16.68,18.76,3.17,4.86,5.47,2.44,38.61
17.07.2015,16.4,18.72,3.33,4.78,5.46,2.56,38.45
18.07.2015,15.05,15.82,3.51,4.39,4.61,2.7,34.38
19.07.2015,14.34,16.77,2.92,4.18,4.89,2.24,34.03
20.07.2015,15.85,14.98,3.72,4.62,4.37,2.86,34.55
21.07.2015,14.88,17.02,2.76,4.34,4.96,2.12,34.65
22.07.2015,17.54,19.69,3.5,5.11,5.74,2.7,40.73
23.07.2015,9.64,12.79,1.56,2.81,3.73,1.2,23.98
24.07.2015,14.74,14.77,3.41,4.3,4.31,2.62,32.91
25.07.2015,13.48,16.3,2.55,3.93,4.75,1.96,32.33
26.07.2015,13.33,13.67,2.99,3.89,3.98,2.3,29.99
27.07.2015,7.76,9.09,1.77,2.26,2.65,1.36,18.61
28.07.2015,14.22,17.37,2.66,4.15,5.06,2.05,34.25
29.07.2015,14,13.87,3.3,4.08,4.04,2.54,31.17
30.07.2015,17.73,19.43,3.55,5.17,5.66,2.73,40.71
31.07.2015,13.38,14.13,3.09,3.9,4.12,2.38,30.6
01.08.2015,17.01,19.95,3.27,4.96,5.82,2.52,40.23
02.08.2015,11.59,13.4,2.32,3.38,3.91,1.78,27.3
03.08.2015,13.63,15.71,2.74,3.97,4.58,2.11,32.08
04.08.2015,15.55,17.86,3.06,4.53,5.21,2.36,36.47
05.08.2015,12.1,14.59,2.38,3.53,4.25,1.83,29.07
06.08.2015,15.25,17.4,3.06,4.44,5.07,2.36,35.7
07.08.2015,15.57,17.93,3.18,4.54,5.23,2.45,36.68
08.08.2015,14.94,16.49,3.19,4.36,4.81,2.45,34.62
09.08.2015,13.74,16.21,2.75,4.01,4.72,2.12,32.7
10.08.2015,14.28,16.2,2.99,4.16,4.72,2.3,33.46
11.08.2015,14.39,16.55,2.99,4.2,4.83,2.3,33.94
12.08.2015,9.98,12.8,1.83,2.91,3.73,1.41,24.61
13.08.2015,13.99,16.23,2.92,4.08,4.73,2.25,33.14
14.08.2015,14.05,16.18,2.97,4.1,4.72,2.29,33.2
15.08.2015,11.92,14.47,2.32,3.47,4.22,1.79,28.71
16.08.2015,7.15,9.05,1.21,2.08,2.64,0.93,17.41
17.08.2015,3.5,3.74,0.88,1.02,1.09,0.67,8.12
18.08.2015,9.33,11.87,1.98,2.72,3.46,1.52,23.18
19.08.2015,15.08,18.24,3.05,4.4,5.32,2.35,36.38
20.08.2015,15.44,18.49,3.02,4.5,5.39,2.33,36.96
21.08.2015,12.77,16.26,2.25,3.72,4.74,1.73,31.28
22.08.2015,12.03,13.3,2.59,3.51,3.88,1.99,27.92
23.08.2015,12.42,15.68,2.4,3.62,4.57,1.84,30.5
24.08.2015,11.59,14,2.31,3.38,4.08,1.77,27.9
25.08.2015,2.93,3.11,0.73,0.86,0.91,0.56,6.77
26.08.2015,13.19,15.94,2.7,3.85,4.65,2.08,31.84
27.08.2015,12.71,15.69,2.54,3.7,4.57,1.95,30.93
28.08.2015,12.07,14.56,2.48,3.52,4.24,1.91,29.1
29.08.2015,5.95,6.19,1.41,1.73,1.81,1.08,13.55
30.08.2015,11.77,14.68,2.46,3.43,4.28,1.89,28.91
31.08.2015,11.53,14.53,2.42,3.36,4.24,1.86,28.49
01.09.2015,11.22,14.23,2.2,3.27,4.15,1.69,27.65
02.09.2015,1.79,1.9,0.52,0.52,0.55,0.4,4.21
03.09.2015,7.68,8.02,1.85,2.24,2.34,1.42,17.54
04.09.2015,5.42,5.32,1.47,1.58,1.55,1.13,12.21
05.09.2015,6.85,7.1,1.61,2,2.07,1.24,15.57
06.09.2015,6.62,7.25,1.74,1.93,2.11,1.34,15.61
07.09.2015,8.44,9.68,1.65,2.46,2.82,1.27,19.78
08.09.2015,10.34,12.55,1.97,3.01,3.66,1.51,24.86
09.09.2015,8.68,9.59,1.81,2.53,2.8,1.39,20.08
10.09.2015,8.24,9.65,1.51,2.4,2.81,1.16,19.39
11.09.2015,7.66,8.35,1.74,2.23,2.44,1.34,17.75
12.09.2015,8.95,10.37,1.98,2.61,3.02,1.52,21.3
13.09.2015,10.35,11.47,2.33,3.02,3.34,1.79,24.15
14.09.2015,8.38,10.66,1.6,2.44,3.11,1.23,20.64
15.09.2015,7.34,7.83,1.79,2.14,2.28,1.38,16.96
16.09.2015,7.73,9.45,1.34,2.25,2.76,1.03,18.52
17.09.2015,9.21,11.59,1.95,2.69,3.38,1.5,22.75
18.09.2015,6.37,8.49,0.9,1.86,2.48,0.69,15.76
19.09.2015,2.14,2.27,0.55,0.62,0.66,0.42,4.96
20.09.2015,4.16,4.32,0.98,1.21,1.26,0.75,9.45
21.09.2015,1.87,2.22,0.39,0.55,0.65,0.3,4.48
22.09.2015,19.68,0,4.15,5.74,0,3.2,23.83
23.09.2015,12.29,0,2.52,3.58,0,1.94,14.81
24.09.2015,8.3,3.45,2.66,2.42,1.01,2.05,14.41
25.09.2015,1.47,1.55,0.73,0.43,0.45,0.56,3.76
26.09.2015,1.14,1.2,0.64,0.33,0.35,0.49,2.98
27.09.2015,7.15,7.9,3.51,2.08,2.3,2.7,18.56
28.09.2015,6.67,7.28,3.37,1.94,2.12,2.59,17.32
29.09.2015,4.61,5.07,2.4,1.34,1.48,1.85,12.08
30.09.2015,4.68,4.87,2.12,1.36,1.42,1.63,11.66
01.10.2015,7.29,9.34,3.8,2.12,2.72,2.92,20.43
02.10.2015,6.3,8.89,3.49,1.84,2.59,2.69,18.68
03.10.2015,6.35,8.52,3.3,1.85,2.48,2.54,18.18
04.10.2015,6.08,7.61,3.24,1.77,2.22,2.49,16.92
05.10.2015,5.23,5.72,2.81,1.53,1.67,2.16,13.76
06.10.2015,5.84,6.45,2.81,1.7,1.88,2.16,15.1
07.10.2015,4.04,4.15,1.82,1.18,1.21,1.4,10.01
08.10.2015,5.68,5.81,3.06,1.66,1.69,2.36,14.56
09.10.2015,5,5.84,2.3,1.46,1.7,1.77,13.13
10.10.2015,5.33,5.98,2.97,1.55,1.74,2.28,14.28
11.10.2015,4.41,4.61,1.86,1.29,1.34,1.43,10.88
12.10.2015,0.03,0.01,0.1,0.01,0,0.08,0.14
13.10.2015,1.46,1.26,1.03,0.42,0.37,0.79,3.75
14.10.2015,2.94,3.12,1.31,0.86,0.91,1.01,7.37
15.10.2015,1.06,1.13,0.58,0.31,0.33,0.45,2.78
16.10.2015,3.89,3.95,1.93,1.14,1.15,1.48,9.77
17.10.2015,1.4,1.47,0.69,0.41,0.43,0.53,3.55
18.10.2015,4.52,4.9,2.87,1.32,1.43,2.21,12.28
19.10.2015,3.88,4.03,1.83,1.13,1.18,1.41,9.74
20.10.2015,0.84,0.89,0.49,0.25,0.26,0.37,2.22
21.10.2015,2.53,2.54,1.22,0.74,0.74,0.94,6.3
22.10.2015,2.12,2.26,0.98,0.62,0.66,0.75,5.36
23.10.2015,1.43,1.53,0.68,0.42,0.45,0.53,3.64
24.10.2015,2.54,2.84,1.8,0.74,0.83,1.39,7.18
25.10.2015,2.96,3.08,1.34,0.86,0.9,1.03,7.37
26.10.2015,2.98,3.26,2.32,0.87,0.95,1.79,8.57
27.10.2015,2.82,1.54,2.31,0.82,0.45,1.77,6.67
28.10.2015,2.83,2.85,2,0.82,0.83,1.54,7.67
29.10.2015,3.1,3.06,2.16,0.9,0.89,1.66,8.32
30.10.2015,2.35,2.45,1.72,0.68,0.72,1.32,6.52
31.10.2015,1.36,1.44,0.64,0.4,0.42,0.49,3.45
01.11.2015,1.67,1.99,1.95,0.49,0.58,1.5,5.6
02.11.2015,1.68,1.76,1.69,0.49,0.51,1.3,5.12
03.11.2015,1.45,1.69,1.6,0.42,0.49,1.23,4.74
04.11.2015,1.8,1.94,1.56,0.52,0.57,1.2,5.29
05.11.2015,2.33,2.45,1.44,0.68,0.71,1.11,6.22
06.11.2015,2.33,2.37,1.48,0.68,0.69,1.14,6.18
07.11.2015,1.73,1.88,0.76,0.5,0.55,0.58,4.36
08.11.2015,1.56,1.44,1.44,0.46,0.42,1.11,4.45
09.11.2015,0,0.98,0.44,0,0.29,0.34,1.42
10.11.2015,0,1.14,0.55,0,0.33,0.42,1.68
11.11.2015,0,1.04,0.53,0,0.3,0.41,1.57
12.11.2015,0,2,0.98,0,0.58,0.76,2.98
13.11.2015,0,2.49,1.53,0,0.72,1.18,4.02
14.11.2015,0,1.7,1.24,0,0.5,0.96,2.94
15.11.2015,0,1.51,0.68,0,0.44,0.52,2.19
16.11.2015,0.78,1.04,0.51,0.23,0.3,0.4,2.33
17.11.2015,1.63,1.75,0.74,0.48,0.51,0.57,4.13
18.11.2015,1.07,1.14,0.56,0.31,0.33,0.43,2.76
19.11.2015,1.22,1.32,0.58,0.35,0.39,0.44,3.12
20.11.2015,1.17,1.23,0.56,0.34,0.36,0.43,2.96
21.11.2015,0.46,0.48,0.24,0.13,0.14,0.18,1.18
22.11.2015,1.59,1.69,0.71,0.46,0.49,0.54,3.98
23.11.2015,1.17,1.15,1.03,0.34,0.34,0.79,3.36
