LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,T2MDEW,T2M,KT_CLEAR,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN
50.07731,20.76851,2015,01,01,    1.24,  0.003181,   -2.60,   -1.53,              0.15,              0.15,-999,              0.32,              6.72
50.07731,20.76851,2015,01,02,    2.19,  0.003805,   -0.21,    1.11,              0.33,              0.33,-999,              0.68,              6.59
50.07731,20.76851,2015,01,03,    0.29,  0.003614,   -0.92,    1.01,              0.36,              0.36,              0.99,              0.77,              6.43
50.07731,20.76851,2015,01,04,    2.34,  0.003337,   -2.06,   -0.17,              0.34,              0.34,-999,              0.72,              6.43
50.07731,20.76851,2015,01,05,    0.73,  0.003015,   -3.27,   -1.43,              0.30,              0.30,-999,              0.64,              6.24
50.07731,20.76851,2015,01,06,    0.25,  0.001858,   -9.35,   -7.02,              0.42,              0.42,-999,              0.92,              4.75
50.07731,20.76851,2015,01,07,    0.26,  0.001398,  -12.33,  -10.20,              0.24,              0.24,-999,              0.52,              5.78
50.07731,20.76851,2015,01,08,    1.67,  0.002402,   -6.14,   -4.27,              0.22,              0.22,-999,              0.49,              6.33
50.07731,20.76851,2015,01,09,    7.37,  0.003958,    0.19,    1.52,              0.29,              0.29,-999,              0.65,              6.83
50.07731,20.76851,2015,01,10,    6.30,  0.005033,    3.31,    4.08,              0.12,              0.12,-999,              0.27,              7.06
50.07731,20.76851,2015,01,11,    0.53,  0.003581,   -1.20,    0.86,              0.32,              0.32,-999,              0.72,              6.22
50.07731,20.76851,2015,01,12,    0.79,  0.003982,    0.37,    1.74,              0.21,              0.21,-999,              0.48,              6.82
50.07731,20.76851,2015,01,13,    0.01,  0.003799,   -0.32,    2.61,              0.46,              0.46,-999,              1.07,              6.15
50.07731,20.76851,2015,01,14,    0.37,  0.004002,    0.37,    2.30,              0.25,              0.25,-999,              0.59,              6.76
50.07731,20.76851,2015,01,15,    0.52,  0.003615,   -0.96,    0.78,              0.40,              0.40,              1.17,              0.96,              6.36
